"id","name","is_large"
1,Apceros,0
2,Aptonoth,0
3,Bullfango,0
4,Cephalos,0
5,Felyne,0
6,Genprey,0
7,Hornetaur,0
8,Ioprey,0
9,Kelbi,0
10,Melynx,0
11,Mosswine,0
12,Velociprey,0
13,Vespoid,0
14,Basarios,1
15,Cephadrome,1
16,Diablos,1
17,Fatalis,1
18,Gendrome,1
19,Gravios,1
20,Gypceros,1
21,Iodrome,1
22,Khezu,1
23,Kirin,1
24,Lao-Shan Lung,1
25,Monoblos,1
26,Plesioth,1
27,Rathalos,1
28,Rathian,1
29,Velocidrome,1
30,Yian Kut-Ku,1
31,Giaprey,0
32,Black Diablos,1
33,Crimson Fatalis,1
34,Black Gravios,1
35,Purple Gypceros,1
36,Red Khezu,1
37,Ashen Lao-Shan Lung,1
38,White Monoblos,1
39,Green Plesioth,1
40,Azure Rathalos,1
41,Silver Rathalos,1
42,Pink Rathian,1
43,Gold Rathian,1
44,Blue Yian Kut-Ku,1
45,Scarred Yian Garuga,1
46,Shakalaka,0
47,Great Thunderbug,0
48,Anteka,0
49,Popo,0
50,Yian Garuga,1
51,Remobra,0
52,Hermitaur,0
53,Daimyo Hermitaur,1
54,Ceanataur,0
55,Shogun Ceanataur,1
56,Shen Gaoren,1
57,Bulldrome,1
58,Conga,0
59,Congalala,1
60,Blango,0
61,Blangonga,1
62,Rajang,1
63,Kushala Daora,1
64,Rusted Kushala Daora,1
65,Chameleos,1
66,Lunastra,1
67,Teostra,1
68,Yama Tsukami,1
69,White Fatalis,1
70,Giadrome,1
71,Tigrex,1
72,Akantor,1
73,King Shakalaka,1
74,Vespoid Queen,1
75,Nargacuga,1
76,Ukanlos,1
77,Lavasioth,1
78,Plum Daimyo Hermitaur,1
79,Terra Shogun Ceanataur,1
80,Emerald Congalala,1
81,Copper Blangonga,1
82,Furious Rajang,1
83,Altaroth,0
84,Baggi,0
85,Bnahabra,0
86,Delex,0
87,Epioth,0
88,Giggi,0
89,Jaggi,0
90,Jaggia,0
91,Ludroth,0
92,Rhenoplos,0
93,Uroktor,0
94,Barioth,1
95,Barroth,1
96,Deviljho,1
97,Gigginox,1
98,Gobul,1
99,Great Baggi,1
100,Great Jaggi,1
101,Lagiacrus,1
102,Qurupeco,1
103,Royal Ludroth,1
104,Uragaan,1
105,Alatreon,1
106,Ceadeus,1
107,Jhen Mohran,1
108,Gargwa,0
109,Slagtoth,0
110,Wroggi,0
111,Glacial Agnaktor,1
112,Arzuros,1
113,Sand Barioth,1
114,Jade Barroth,1
115,Duramboros,1
116,Lagombi,1
117,Green Nargacuga,1
118,Nibelsnarf,1
119,Crimson Qurupeco,1
120,Purple Ludroth,1
121,Brute Tigrex,1
122,Steel Uragaan,1
123,Volvidon,1
124,Zinogre,1
125,Amatsu,1
126,Brachydios,1
127,Goldbeard Ceadeus,1
128,Savage Deviljho,1
129,Dire Miralis,1
130,Rust Duramboros,1
131,Baleful Gigginox,1
132,Great Worggi,1
133,Hallowed Jhen Mohran,1
134,Ivory Lagiacrus,1
135,Abyssal Lagiacrus,1
136,Lucent Nargacuga,1
137,Stygian Zinogre,1
138,Konchu,0
139,Zamite,0
140,Ruby Basarios,1
